physicalObject,desc
Absorption towers,
Accountancy firms,Business and commerce; Accountants and auditors
Accountancy firms,Business and commerce; Tax advisor
Advertising,Business and commerce; Advertising and graphic design
Advertising,Business and commerce; Public relations
Agriculture and aquaculture,Food production and horticulture; Agriculture
Agriculture and aquaculture,Food production and horticulture; Bee keeping
Agriculture and aquaculture,Food production and horticulture; Dairy
Agriculture and aquaculture,Food production and horticulture; Farming
Agriculture and aquaculture,Food production and horticulture; Greenhouses and glasshouses
Agriculture and aquaculture,Food production and horticulture; Horticulture
Agriculture and aquaculture,Food production and horticulture; Livestock
Agriculture and aquaculture,Food production and horticulture; Orchard
Agriculture and aquaculture,Food production and horticulture; Tree and plant nurseries
Agriculture and aquaculture,Keyword filter; Dairy
Agriculture and aquaculture,Keyword filter; Livestock
Agriculture and aquaculture,Outdoors and natural environment; Allotments and community gardens
Air bases,
Airplanes and helicopters,
Airports (major),
Airports (major),
Airports (minor),
Ambulance stations,Governance; Ambulance station
Animal care,Animal; Boarding
Animal care,Retail; Pet
Animal care,Trades and services; Animal grooming
Animal shelters,Animal; Shelter and welfare
Apparel retail,Retail; Boutique
Apparel retail,Retail; Clothing
Apparel retail,Retail; Clothing accessories
Apparel services,Keyword filter; Alteration
Apparel services,Trades and services; Dry cleaning and laundrette
Apparel services,Trades and services; Tailor
Aquariums,Attractions; Aquarium
Aqueducts and viaducts,Waterway; Aquaducts and viaducts
Armed forces barracks,Military; Barracks
Armed forces headquarters,
Armed forces training grounds,Military; Parade grounds
Armed forces training grounds,Military; Training grounds
Armed forces training grounds,Outdoor facility; Training grounds
Assisted living,Healthcare; Hospice
Assisted living,Residential; Supported housing
Assisted living,Social facility; Drug rehabilitation
Assisted living,Social facility; Supported housing
ATMs,Amenity; ATM
Attractions,Attractions
Attractions,Attractions; Amusement arcade
Attractions,Attractions; Bowling alley
Attractions,Attractions; Escape room
Attractions,Attractions; Go Karting centre
Attractions,Attractions; Karaoke
Attractions,Attractions; Miniature railway
Attractions,Attractions; Multiplex
Attractions,Attractions; Paintball
Attractions,Attractions; Trampoline park
Attractions,Attractions; Water and theme parks
Attractions,Keyword filter; Multiplex
Attractions,Keyword filter; Visitor centre
Attractions,Sports and games; Racing and motor sport
Auction houses,Retail; Auction house
Automotive retail,Vehicles; Retail
Bank headquarters,Business and commerce; Bank office
Banks,Business and commerce; Bank
Banks,Business and commerce; Banks and building societies
Banks,Business and commerce; Credit union
"Barriers, gates, and fences",Barrier
"Barriers, gates, and fences",Barrier; Bollard
"Barriers, gates, and fences",Barrier; Cycle
"Barriers, gates, and fences",Barrier; Height restriction
"Barriers, gates, and fences",Barrier; Wall
Bars and nightclubs,Attractions; Burlesque club
Bars and nightclubs,Attractions; Caberet club
Bars and nightclubs,Attractions; Nightclub
Bars and nightclubs,Attractions; Pool hall
Bars and nightclubs,Hospitality; Bar
Bars and nightclubs,University; Student union
Beaches,Outdoors and natural environment; Beach
Beauty services,Keyword filter; Barber
Beauty services,Retail; Beauty and cosmetics
Beauty services,Trades and services; Beauty industry
Beauty services,Training; Beauty school
Bicycles,
Bins,Amenity; Public trash bin
Bins,Waste management; Communal recycling bin
Bins,Waste management; Communal rubbish bin
Blood banks,Healthcare; Blood bank
Boats,
Botanical gardens,Attractions; Botanical garden
Bridges,Transport infrastructure; Bridge
Broadband provider offices,Telecommunications; Office
Broadcasting,Business and commerce; Production company
Broadcasting,Keyword filter; Production company
Broadcasting,Telecommunications; Broadcasting studio
Brownfield sites,Brownfield site
Brownfield sites,Transport infrastructure; Railway land
Bus stations,Public transport; Bus station
Bus stops,Public transport; Bus stop
Buses and trams,
Business services,Business and commerce; Chambers
Business services,Manufacturing; Signmaker
Business services,Retail; Printing and copying
Business services,Trades and services; Business
Business services,Training; Meeting and training space
Cafes,Hospitality; Cafe
Cafes,Hospitality; Cafes and coffee shops
Camping grounds,Hospitality; Camping
Canals,Waterway; Canal
Canals,Waterway; Canal lock
Career and employment support services,Business and commerce; Employment and recruitment agencies
Career and employment support services,Business and commerce; Recruitment
Career and employment support services,Social facility; Careers advice
Career and employment support services,Social facility; Job centre
Casinos and gaming,Attractions; Betting shop
Casinos and gaming,Attractions; Bingo hall
Casinos and gaming,Attractions; Casinos and gaming
Castles and fortifications,Attractions; Historic
Castles and fortifications,Historic; Castle
Cemeteries,Religious sites and buildings; Cemeteries and graveyards
Charity organisations,Business and commerce; NGO
Charity organisations,Keyword filter; Outreach services
Charity organisations,Keyword filter; Trust
Charity organisations,Regeneration programme
Charity organisations,Social facility; Charitable organisation offices or facilities
Charity organisations,Social facility; Salvation Army
Charity shops,Retail; Charitable organisation
Charity shops,Retail; Charity shop
Children's clubs,Community centres; Breakfast & after school clubs and youth centres
Children's clubs,Community centres; Social clubs
Children's clubs,Community centres; Youth organisations
Cinemas,Attractions; Cinema
Citizens Advice Bureaus,Social facility; Citizens advice
Common green areas,Outdoors and natural environment; Commons and gardens
Common green areas,Outdoors and natural environment; Forest and woodland
Community centres,Community centres
Community centres,"Community centres; Hall (Town, village or church)"
Computer and electronics shops,Business and commerce; Appliances
Computer and electronics shops,Retail; Electronics and household appliances
Computer and electronics shops,Retail; IT and software
Computer and electronics shops,Trades and services; Electronics repair
Conference and exhibition centres (animal racing),Keyword filter; Animal racing
Conference and exhibition centres (general),Exhibition centres; Conference centres
Conference and exhibition centres (general),Exhibition centres; Events venue
Conference and exhibition centres (general),Exhibition centres; Ice rink
Conference and exhibition centres (general),Exhibition centres; Stadiums and arenas
Conference and exhibition centres (general),Keyword filter; Velodromes
Construction and engineering,Business and commerce; Engineering
Construction and engineering,Road and rail maintenance
Construction and engineering,Trades and services; Builder
Consumer finance,Business and commerce; Money transfer and currency exchange
Consumer finance,Business and commerce; Pawnbrokers and money lenders
Council offices,Buildings; Council offices
Council offices,Keyword filter; City council
Council offices,"Social facility; Government, financial services"
Council offices,Social facility; Housing office
Couriers,Logistics; Courier
Courthouses,Buildings; Courthouses
Coworking office spaces,Business and commerce; Business centres and managed / serviced offices
Coworking office spaces,Business and commerce; Coworking office
Creative spaces,Creative spaces; Art studios and centres
Creative spaces,Creative spaces; Dance studios
Creative spaces,Creative spaces; Photo studios and photographers
Creative spaces,Creative spaces; Recording studios
Creative spaces,Keyword filter; Creative spaces
Creative spaces,Manufacturing; Glassblower
Creative spaces,Manufacturing; Potter
Creative spaces,Manufacturing; Sculptor
Creative spaces,Training; Cooking
Creative spaces,Training; Language school
Creative spaces,Training; School of performing arts
Creative spaces,University; Conservatoire
Crossings,Traffic crossings; Bicycle
Crossings,Traffic crossings; Controlled / signalled
Crossings,Traffic crossings; Ford
Crossings,Traffic crossings; Level crossing
Crossings,Traffic crossings; Uncontrolled
Crossings,Traffic crossings; Unspecified
Day centres,Social facility; Day care (not children)
Death-care services,Trades and services; Death care
Dental and orthodontal practices,Healthcare; Dental
Dining and catering services,Hospitality; Caterer
Dining and catering services,Trades and services; Caterer
Dining and catering services,Trades and services; Mobile caterer
Diplomatic buildings,Governance; Diplomacy
Distribution centres,Industry; Warehouse
Distribution centres,"Keyword filter; Logistics, loading dock"
Distribution centres,Logistics; Depots and sorting offices
Distribution centres,Logistics; Distribution centre
Distribution centres,Logistics; Distribution centre (supermarket)
Driving schools,Training; Driving schools and test centres
Eateries,Food retail; Delicatessan
Eateries,Hospitality; Eateries and restaurants
Eateries,Hospitality; Pub
Electricity provider offices,Utilities office; Energy
Emergency vehicles,
Environmental consulting and quantity surveying firms,Business and commerce; Surveying company
Environmental regulators,Buildings; Environmental regulators and managers
EV charging stations,Amenity; Electric car charging point
Events management,Hospitality; Festivals and events management
Events management,Retail; Tickets
Exterior building trades,Manufacturing; Stonemason
Exterior building trades,Trades and services; Exteriors
Financial advisors,Business and commerce; Finances and investment
Financial advisors,Business and commerce; Financial advice
Financial advisors,Business and commerce; Financial advisor
Financial advisors,Business and commerce; Investment
Fire stations,Governance; Community fire station
Fire stations,Governance; Fire station
Food banks,Social facility; Food bank
Furnishing retail,Retail; Audiovisual
Furnishing retail,Retail; Home furnishing and homeware
Furnishing services,Business and commerce; Interior designers
Furnishing services,Manufacturing; Framer
Furnishing services,Trades and services; Furniture repair
Furnishing services,Trades and services; Upholstery
Gas pipelines,
Gas provider offices,Gas network; Administrative office
Gas storage tanks,Gas network; Works
Gas terminals,Gas network; Node
Gas terminals,Gas network; Substation
Grasslands and meadows,Outdoors and natural environment; Grass land
Grasslands and meadows,Outdoors and natural environment; Meadow
Grasslands and meadows,Outdoors and natural environment; Shrub land
Healthcare (alternative),Healthcare; Alternative
Healthcare (alternative),Retail; Alternative medicine
Healthcare (physiotherapy),Healthcare; Physiotherapy and massage
Healthcare (specialist),Healthcare; Cosmetic and plastic surgery
Healthcare (specialist),Healthcare; Specialist
Healthcare (specialist),Retail; Healthcare
Healthcare (specialist),Social facility; Homecare service
Healthcare outpatient services,Healthcare; Outpatient services
Helipads,Public transport; Helipad
Higher education,College
Higher education,Keyword filter; Colleges
Higher education,University
Historic points of interest,Amenity; Fountain (decorative)
Historic points of interest,Amenity; Scenic viewpoint
Historic points of interest,Historic; Artefact
Historic points of interest,Historic; Building
Historic points of interest,Historic; Folly
Historic points of interest,Historic; Fortifications
Historic points of interest,Historic; Lighthouse
Historic points of interest,Historic; Memorial
Historic points of interest,Historic; Milestones and stone markers
Historic points of interest,Historic; Mine
Historic points of interest,Historic; Monuments and statues
Historic points of interest,Historic; Plaque
Historic points of interest,Historic; Police call box
Historic points of interest,Historic; Quarry
Historic points of interest,Historic; Residences
Historic points of interest,Historic; Ruins and archaeological sites
Historic points of interest,Historic; Ships and aircraft
Historic points of interest,Historic; Tomb
Historic points of interest,Historic; Unspecified
Historic points of interest,Historic; War memorials and battlefields
Historic points of interest,Point of interest; Historic
Historic points of interest,Religious sites and buildings; Shrines and relics
Home and outdoor maintenance retail,Retail; Garden
Home and outdoor maintenance retail,Retail; Home improvement and DIY
Home and outdoor maintenance retail,Retail; Household and cleaning
Home and outdoor maintenance services,Council; Park and street care
Home and outdoor maintenance services,Environmental management; Pest control
Home and outdoor maintenance services,Keyword filter; Environmental management
Home and outdoor maintenance services,Trades and services; Cleaner
Home and outdoor maintenance services,Trades and services; Gardener
Home and outdoor maintenance services,Trades and services; Tool and equipment hire
Home and outdoor maintenance services,Wastewater; Septic system services
Homeless shelters,
Hospitals (general),Healthcare; Hospital
Hospitals (general),Healthcare; Hospital administration office
Hospitals (general),Keyword filter; Hospital
Hospitals (general),University; Hospital
Hospitals (with A&E),Keyword filter; A&E
Hotels,Hospitality; Apartments and serviced apartments
Hotels,Hospitality; Guest house
Hotels,Hospitality; Hostel
Hotels,Hospitality; Hotels and motels
ICT cables and radio waves,
Independent or renewable power sources,Electricity generation; Generator
Independent or renewable power sources,Electricity generation; Geothermal
Independent or renewable power sources,Electricity generation; Intermittent renewables
Independent or renewable power sources,Electricity generation; Small and sustainable energy sources
Insurance provider offices,Business and commerce; Insurance
Insurance provider offices,Governance; Insurance
Integrated waste facilities,Waste management; Integrated facility
Interior building trades,Trades and services; Carpenter
Interior building trades,Trades and services; Glazing
Interior building trades,Trades and services; Interiors
Internet cafes,Hospitality; Internet cafe
IT software and services,Business and commerce; Technology and software
IT software and services,Keyword filter; Tech companies
Lakes and ponds,Water; Lentic water bodies
Landfills and endpoint waste sites,Waste management; Landfill
Learned societies,Buildings; Learned societies
Legal services,Buildings; Lawyers and solicitors
Legal services,Buildings; Legal aid
Libraries and archives,Buildings; Archive
Libraries and archives,Buildings; Library
Lifeboat stations,Governance; Lifeboat station
Locksmiths and cobblers,Trades and services; Locksmiths and cobblers
Lorries,
Maintenance vehicles,
Manufacturing (consumer discretionary),Manufacturing; Clothing
Manufacturing (consumer discretionary),Manufacturing; Vehicle
Manufacturing (consumer discretionary),Manufacturing; Watchmakers and jewlers
Manufacturing (consumer staples),Food production and horticulture; Manufacturing
Manufacturing (consumer staples),Manufacturing; Confectioner
Manufacturing (consumer staples),"Manufacturing; Distilling, brewing and winemaking"
Manufacturing (energy),Business and commerce; Oil major
Manufacturing (energy),Industry; Coal yard
Manufacturing (energy),Industry; Gas supply
Manufacturing (energy),Industry; Oil and petroleum supply
Manufacturing (energy),Industry; Oil pipeline
Manufacturing (energy),Industry; Refinery
Manufacturing (healthcare),
Manufacturing (industrials),Manufacturing; Industrials
Manufacturing (industrials),Manufacturing; Safety and security
Manufacturing (IT hardware),Manufacturing; IT hardware
Manufacturing (materials),Industry; Materials
Manufacturing (materials),Industry; Quarry
Manufacturing (materials),Industry; Wood
Manufacturing (materials),Manufacturing; Blacksmiths and ironmongery
Manufacturing (materials),Manufacturing; Chemical works
Manufacturing (materials),Manufacturing; Packaging
"Marinas, boatyards, and ferry terminals",Keyword filter; Harbour
"Marinas, boatyards, and ferry terminals",Public transport; Ferry terminals and marinas
Medical laboratories,Healthcare; Medical laboratory
Medical practices,Healthcare; General practice
Medical practices,Healthcare; Private
Medical practices,Healthcare; Walk-in clinic
Mental health services,Healthcare; Mental health and counselling
Mental health services,Mental health facility; Healthcare
Multi-line retail,Retail; Department store
Multi-line retail,Retail; Discount
Museums and art galleries,Attractions; Museums and art galleries
Museums and art galleries,Attractions; Science centre
Music and theatre venues,Amenity; Bandstand
Music and theatre venues,Attractions; Comedy club
Music and theatre venues,Attractions; Music or concert venue
Music and theatre venues,Attractions; Theatre
Music and theatre venues,Keyword filter; Auditoriums
National government buildings,Buildings; Government transport agencies
National government buildings,Business and commerce; Defence agencies
National government buildings,Business and commerce; QUANGO
National government buildings,Governance; Civic
National government buildings,Governance; Defence agencies
National government buildings,Governance; General public
National government buildings,Governance; Standards agency
National government buildings,Keyword filter; Defence
National government buildings,Keyword filter; Government buildings
National government buildings,Keyword filter; NHS foundation trust
National government buildings,"Social facility; Government, homeless services"
National government buildings,Social facility; Immigration aid
Nature reserves,Outdoors and natural environment; Nature reserve
Nurseries,Buildings; Childcare
Nurseries,Buildings; Nurseries and kindergartens
Nurseries,Keyword filter; Day care
Nurseries,School; Infant
Observatories,University; Observatory
Offices (other),Buildings; Headquarters
Offices (other),Business and commerce; Administrative office
Offices (other),Business and commerce; Business park
Offices (other),Business and commerce; Company office
Offices (other),Business and commerce; Office
Offices (other),Business and commerce; Unspecified
Offices (other),Industry; Industrial estate
Offices (other),Industry; Manufacturing
Offices (other),Industry; Unspecified
Offices (other),Keyword filter; Business and commerce
Off-licenses,Retail; Off-licence
Opticians and ophthalmologists,Healthcare; Optician
Other communal resources,Amenity; Free library
Other discretionary goods retail,Retail
Other discretionary goods retail,Retail; Arts and crafts
Other discretionary goods retail,Retail; Bookshop
Other discretionary goods retail,Retail; Erotic and adult
Other discretionary goods retail,"Retail; Games, music and video"
Other discretionary goods retail,Retail; Gifts and souvenir
Other discretionary goods retail,Retail; Hobbies and skills development
Other discretionary goods retail,Retail; Speciality and luxury goods
Other discretionary services,Attractions; Sauna
Other discretionary services,Attractions; Sex industry
Other discretionary services,Attractions; Stripclubs and erotic dancing
Other discretionary services,Keyword filter; Sauna
Other discretionary services,Trades and services; Chauffeur company
Other discretionary services,Trades and services; Speciality and luxury
Other staple goods retail,Retail; Baby care and maternity
Parking,Amenity; Bicycle parking
Parking,Amenity; Boat mooring
Parking,Amenity; Parking
Parking,Amenity; Parking (entrance)
Parking,Amenity; Underground and multi-storey car parks
Parks,Amenity; Dog walking park
Parks,Amenity; Park
Parliamentary buildings,
Personal devices,
Pharmacies,Healthcare; Pharmacy
Piers and boardwalks,Amenity; Piers and boardwalks
Playgrounds (indoor),Attractions; Soft play
Playgrounds (indoor),Sports and games; Indoor playground
Playgrounds (outdoor),Sports and games; Outdoor playground
Police stations,Buildings; Transport police
Police stations,Governance; Overseas registration unit
Police stations,Governance; Parks police
Police stations,"Governance; Police agencies, offices and headquarters"
Police stations,Governance; Police stations
Police stations,Governance; Traffic wardens
Police stations,Governance; Probation offices
Political offices,Buildings; Political offices
Post boxes,Amenity; Post box
Post offices,Logistics; Post office
Potable water pipes,Water; Pipeline
Power lines,Electricity network; Cable (underground)
Power lines,Electricity network; Line (overhead)
"Power poles, towers, and converter stations",Electricity network; Distribution cabinet
"Power poles, towers, and converter stations",Electricity network; Pole
"Power poles, towers, and converter stations",Electricity network; Tower
"Power poles, towers, and converter stations",Electricity network; Transition point
"Power poles, towers, and converter stations",Keyword filter; Cabinet
Power stations,Electricity generation
Power stations,Electricity generation; Incinerator
Power stations,Electricity generation; Power plant
Power stations,Electricity network; Substation
Prison and jails,Buildings; Prison and offenders institutes
Private motor vehicles,
Public art,Amenity; Street art or art installation
Public drinking water points,Amenity; Water point
Public information boards,Amenity; Bike monitoring
Public information boards,Amenity; Clock
Public information boards,Amenity; Information board
Public information boards,Amenity; Real time passenger information display
Public information boards,Amenity; Transport timetable
Public information boards,Point of interest; Information board
Public telephones,Amenity; Emergency phone
Public telephones,Amenity; Public telephone or telephone box
Public toilets,Amenity; Public toilets
Publishing offices,Business and commerce; Publishing
Publishing offices,Manufacturing; Bookbinder
Rail signalling and switches,Traffic management; Switches and signalling
Real estate management offices,Business and commerce; Letting and estate agents
Real estate management offices,Business and commerce; Property development and construction
Real estate management offices,Business and commerce; Property management and maintenance
Real estate management offices,Social facility; Resident's associations and housing co-operatives
Recycling centres,Waste management; Recycling centre
Recycling centres,Waste management; Scrap yard and materials recovery
Registrar offices,Governance; Registry
Religious buildings,Religious sites and buildings
Religious buildings,Religious sites and buildings; Administrative building
Religious buildings,Religious sites and buildings; Chaplaincy
Religious buildings,Religious sites and buildings; Convents and monasteries
Religious buildings,Religious sites and buildings; Missionary
Religious buildings,Religious sites and buildings; Place of worship
Removal services,Trades and services; Home removal
Research and consulting services,Buildings; Clinical science
Research and consulting services,Buildings; Research
Research and consulting services,Business and commerce; Architect
Research and consulting services,Business and commerce; Architects and urban planners
Research and consulting services,Business and commerce; Consultancy
Research and consulting services,Business and commerce; Product development
Research and consulting services,Business and commerce; Research and development
Reservoirs,Water; Reservoir
Residential gardens,
Residential properties,Amenity; Garages and sheds
Residential properties,Residential
Residential properties,Residential; Ambassador
Residential properties,Residential; Apartments
Residential properties,Residential; Harbour Master's House
Residential properties,Residential; House boat
Residential properties,Residential; Houses
Residential properties,Residential; School house
Residential properties,Residential; Student accomodation
Retail headquarters,Business and commerce; Online retailer
Retail headquarters,Business and commerce; Retail company offices
Retail headquarters,Business and commerce; Retail conglomerate
Rivers and streams,Water; Rivers and burns
Road traffic lights and signage,Amenity; Low emissions zone signage
Road traffic lights and signage,Amenity; Milestones and stone markers
Road traffic lights and signage,Amenity; Waymarker
Road traffic lights and signage,Traffic management; Mirror
Road traffic lights and signage,Traffic management; Navigation aids and landing lights
Road traffic lights and signage,Traffic management; Signage
Roads (major) and railways,Historic; Railway
Roads (major) and railways,Transport infrastructure; Funicular rail
Roads (major) and railways,Transport infrastructure; High speed rail
Roads (major) and railways,Transport infrastructure; Light rail
Roads (major) and railways,Transport infrastructure; Monorail
Roads (major) and railways,Transport infrastructure; Motorway
Roads (major) and railways,Transport infrastructure; Primary Road
Roads (major) and railways,Transport infrastructure; Rail
Roads (major) and railways,Transport infrastructure; Rail line
Roads (major) and railways,Transport infrastructure; Trunk road
Roads (minor) and pathways,Transport infrastructure; Cycle path
Roads (minor) and pathways,Transport infrastructure; Passing place
Roads (minor) and pathways,Transport infrastructure; Pathway
Roads (minor) and pathways,Transport infrastructure; Residential road
Roads (minor) and pathways,Transport infrastructure; Secondary road
Roads (minor) and pathways,Transport infrastructure; Service access
Roads (minor) and pathways,Transport infrastructure; Tertiary road
Roads (minor) and pathways,Transport infrastructure; Track
Roads (minor) and pathways,Transport infrastructure; Unclassified road
Schools,Keyword filter; School
Schools,Keyword filter; Schools
Schools,School
Schools,School; Junior
Schools,School; Middle
Schools,School; Primary
Schools,School; Secondary
Schools,School; Senior
Schools,School; Sixth form college
Seas and tidal range,Outdoors and natural environment; Tidal range and coastline
Security services,Business and commerce; Safety and security
Security services,Retail; Safety and security
Security services,Trades and services; Safety and security
Security services,Trades and services; Security
Self-storage,Amenity; Self-service parcel locker
Self-storage,Trades and services; Storage facility
Sexual health clinics,Healthcare; Sexual health and family planning
Shopping centres,Business and commerce; Retail park
Shopping centres,Retail; Shopping centre
Smaller food markets,Food retail; Bakery
Smaller food markets,Food retail; Butcher
Smaller food markets,Food retail; Cheesemonger
Smaller food markets,Food retail; Confectionery
Smaller food markets,Food retail; Convenience store
Smaller food markets,Food retail; Fish and wholesale
Smaller food markets,Food retail; Greengrocer
Smaller food markets,Food retail; Health
Smaller food markets,Food retail; Patisserie and speciality cakes
Smaller food markets,Food retail; Speciality and luxury goods
Smaller food markets,Food retail; World foods
Social work offices,Social facility
Social work offices,Social facility; Children's centre
Social work offices,"Social facility; Government, social care / work"
Sports and outdoor retail,Retail; Sports and outdoor
Sports clubhouses,Attractions; Boathouse
Sports clubhouses,Sports and games; Clubhouse
Sports clubhouses,
Sports clubhouses,Sports and games; Clubhouse (water sports)
Sports facilities (indoor),"Gyms & sport, fitness and leisure centres"
Sports facilities (indoor),Sports and games; Activity centre
Sports facilities (indoor),"Sports and games; Gyms & sport, fitness and leisure centres"
Sports facilities (indoor),Sports and games; Indoor facility
Sports facilities (indoor),Sports and games; Indoor facility (climbing)
Sports facilities (indoor),Sports and games; Swimming pool
"Sports facilities (outdoor, impermeable)",Sports and games; Outdoor solid facility
"Sports facilities (outdoor, impermeable, with club)",Sports and games; Clubhouse and facilities
"Sports facilities (outdoor, impermeable, with club)",Sports and games; Clubhouse and outdoor facility
"Sports facilities (outdoor, impermeable, with club)",Sports and games; Clubhouse and outdoor solid facility
"Sports facilities (outdoor, permeable)",
"Sports facilities (outdoor, permeable)",
"Sports facilities (outdoor, permeable)",Sports and games; Fitness stations and outdoor gyms
"Sports facilities (outdoor, permeable)",Sports and games; Outdoor facility
"Sports facilities (outdoor, permeable)",
"Sports facilities (outdoor, permeable)",Sports and games; Recreation ground
"Sports facilities (outdoor, permeable, with club)",
Springs and wells,Outdoors and natural environment; Spring (water)
Stables,Keyword filter; Equestrian
Stables,Keyword filter; Livery
Stables,Sports and games; Horse riding centres
Stables,Sports and games; Horse stables and paddocks
Stormwater retention,Water; Detention and retention basins
Street lights,Amenity; Street lamp
Structural defences,Amenity; Flood defence
Structural defences,Water; Spillway
Subway stations,Public transport; Light rail stop
Subway trains,
Supermarkets,Food retail; Supermarket
Supermarkets,Retail; Market
Surveillance cameras,Amenity; Automatic number plate reader
Surveillance cameras,Amenity; Surveillance camera or CCTV
Surveillance cameras,Traffic management; Traffic camera (live)
Takeaways and fast food,Hospitality; Fast food and takeaways
Taxi ranks,Public transport; Taxi rank
Taxis,
Telecommunications towers,Telecommunications; Relay station
Telecommunications towers,Telecommunications; Tower
Telephone exchanges and data centres,Telecommunications; Data centre
Telephone exchanges and data centres,Telecommunications; Exchange
Toll booths and weighbridges,Amenity; Toll booth
Toll booths and weighbridges,Transport infrastructure; Check points and weighbridges
Tourism offices,Business and commerce; Tourist information offices and tourist boards
Town squares,
Traffic calming measures,Traffic management; Calming
Traffic calming measures,Traffic management; Speed camera
Train stations (major),Historic; Railway station or platform
Train stations (major),Public transport; Rail station (Major)
Train stations (minor),Public transport; Rail station (Minor)
Training centres,Keyword filter; Catering college
Training centres,Training; Occupational
Training centres,Training; Occupational and networking
Training centres,Training; Private tuition (children)
Trains,
Tram stops,Public transport; Light rail stop
Transport providers and control centres,Buildings; Lighthouse
Transport providers and control centres,Buildings; Lighthouses
Transport providers and control centres,Business and commerce; Transport operator offices
Transport providers and control centres,Logistics; Administrative office
Transport providers and control centres,Public transport; Ferry terminals and marinas facilities
Transport providers and control centres,Public transport; Taxi office
Transport providers and control centres,Traffic management; Air traffic control
Transport providers and control centres,Traffic management; Control centre
Travel agencies,Business and commerce; Travel agency
Traveller sites,Residential; Traveller
Tunnels,Transport infrastructure; Passageways and tunnels through buildings
Tunnels,Transport infrastructure; Tunnel
Union offices,Social facility; Trade and labour unions
Utility trades,Trades and services; Electrician
Utility trades,Trades and services; Plumbing and HVAC
Utility trades,Trades and services; Telecoms
Vehicle depots,Buildings; Council depot
Vehicle depots,Buildings; Depots
Vehicle depots,Governance; Police garage
Vehicle depots,"Transport infrastructure; Light & heavy rail depots, yards and sidings"
Vehicle depots,Vehicles; Depot
Vehicle depots,"Vehicles; Light & heavy rail depots, yards and sidings"
Vehicle impounds,Vehicles; Pound
Vehicle maintenance services,Amenity; Car wash
Vehicle maintenance services,Amenity; Fuel station
Vehicle maintenance services,Vehicles; Maintenance and repair
Vehicle rental services,Vehicles; Rental
Vehicle sharing points,Amenity; Bike rental point
Vehicle sharing points,Vehicles; Car share
Veterinary practices,Animal; Veterinarian
Veterinary practices,University; Veterinary college
Waste collection service offices,Keyword filter; Waste management
Waste collection service offices,Waste management; Administrative office
Waste collection service offices,Waste management; Collection
Waste sorting centres,Keyword filter; Waste depot
Waste sorting centres,Waste management; Sorting facility
Wastewater pipes,
Wastewater pumping stations,
Wastewater tanks,Wastewater; Sanitary dump
Wastewater treatment works,Wastewater; Treatment works
Wastewater treatment works,Wastewater; Treatment works and facilities
Water provider offices,Utilities office; Water
Water pumping stations,
Water tanks and towers,Water; Storage tower
Water treatment works,Water; Treatment works and facilities
Wetlands,Outdoors and natural environment; Wetland
Wetlands,Outdoors and natural environment; Wetland tidal flat
Wholesale retail,Industry; Builders merchant
Wholesale retail,Retail; Industry bulk goods
Wholesale retail,Retail; Wholesale
Wildlife,
Zoos,Attractions; Zoological garden
